Device ID,Energy Consumption,Battery Level,Pareto Front Rank
0,-1402.4166202159445,29.964590239049553,0
1,-1392.589736928331,30.25651991269673,0
2,-1293.4157181733556,30.308655811851605,0
3,-729.1324028502986,37.963358385653734,0
4,-1281.7883940330473,30.93724995814049,0
5,-1191.0595572682485,35.595256452735526,0
6,-1203.3941359489675,34.420226246267376,0
7,-1500.6095211349825,21.21282882353962,0
8,-1343.3180754267826,26.418551797592965,1
8,-1343.3180754267826,26.418551797592965,1
10,-1383.3831115882351,26.093962330138208,1
11,-1310.2315037389342,26.986612648966776,1
12,-633.8170676206461,37.42025349909886,1
13,-1231.7917309782829,30.73503419180306,1
14,-1272.5326260123513,30.6377661330943,1
15,-736.0227787737913,35.206539443462454,1
16,-992.102875648694,34.96765268400359,1
17,-1199.3596883088865,30.972117983823416,1
18,-1128.0045074262107,33.61513672670892,1
19,-1040.6396524077343,33.74480285943754,1
20,-1181.624812018619,32.1744703929102,1
21,-1500.5898448699718,21.21282882353962,1
22,-1383.2818383096549,26.093962330138208,2
23,-447.2836032898881,36.71758467946101,2
24,-1271.2784600096847,30.11328533375044,2
25,-1253.2138727259683,30.196942037477438,2
26,-635.4083472638733,34.27492189690871,2
27,-591.8750946510609,34.50008680044724,2
28,-1107.238256009703,32.606662831720385,2
29,-1096.1618842607108,33.58105845931375,2
30,-842.676507749432,33.68868944954703,2
31,-641.2009429459163,33.71984609319314,2
32,-1136.5691881511402,31.26094138905418,2
33,-1108.5570160753523,31.453904565672495,2
33,-1108.5570160753523,31.453904565672495,2
33,-1108.5570160753523,31.453904565672495,2
36,-1163.1788644114204,30.567995151841984,2
37,-1322.1151715405622,25.320123068780816,3
38,-1356.3773399784857,21.57273946631961,3
39,-283.4633678070923,35.53577285317202,3
40,-1261.328866086331,26.810626690203907,3
41,-1257.4971520931645,28.267598633950513,3
42,-406.52566698366223,34.13064043667883,3
43,-413.0573006530439,33.80499122124979,3
44,-1097.688933268356,31.584072392888345,3
45,-919.3122112924327,33.434475682388886,3
46,-1026.7270104443742,33.10177041605706,3
47,-908.457945505051,33.57555951719902,3
48,-1114.2873261469226,31.119569208235276,3
49,-1125.3910755387365,29.275994528011203,3
49,-1125.3910755387365,29.275994528011203,3
51,-1123.914501481311,30.088502760622585,3
52,-1265.9582095957326,20.095363740225544,4
53,-283.3545252130176,35.53577285317202,4
53,-283.3545252130176,35.53577285317202,4
53,-283.3545252130176,35.53577285317202,4
56,-1261.3223768192986,26.810626690203907,4
57,-1205.8989583085913,28.0966722195825,4
57,-1205.8989583085913,28.0966722195825,4
59,-322.5731739187406,34.12806935126234,4
59,-322.5731739187406,34.12806935126234,4
61,-369.4755731099574,33.8236723490984,4
62,-1097.623417421371,31.584072392888345,4
63,-932.4350028163692,33.07416047978254,4
64,-957.7863611295414,32.7250375165055,4
65,-1026.3701095726187,32.42791266418973,4
66,-729.2121947273215,33.44859420053633,4
67,-692.5873684560878,33.55856399750439,4
68,-852.5166922877811,33.25335418061121,4
69,-1106.3983918430376,29.368900705437884,4
70,-1116.1673110359498,28.72684800705268,4
71,-283.2847051927737,35.53577285317202,5
72,-1225.6125017904392,26.442805257468624,5
73,-1197.9875137360086,26.546350342353712,5
74,-1183.208647803759,27.5721863867426,5
75,-1072.7187250333855,31.177029449910247,5
76,-1037.9655761091503,31.504077610068666,5
77,-893.0611510300533,32.857724390651086,5
78,-1007.3668735710152,31.91565191041039,5
78,-1007.3668735710152,31.91565191041039,5
80,-435.4690915627252,33.348715198602456,5
81,-435.947262114965,33.28758744676098,5
82,-289.6305469896161,33.37558036960655,5
83,-697.8556916165995,33.02880232452918,5
84,-795.5961438600539,32.9764089107427,5
85,-1106.3983918430376,29.267327731218106,5
86,-283.2793936130244,35.53577285317202,6
87,-697.8555385392411,33.02880232452918,6
88,-435.12914075237177,33.348715198602456,6
89,-435.55139864371785,33.28758744676098,6
90,-800.3242059053666,32.56357064468749,6
91,-1175.4033296310224,27.45340346539744,6
92,-1020.6204785683951,27.95892181181905,6
93,-892.7123725217823,32.312409488064915,6
94,-1009.6814660574084,30.549301526318978,6
95,-1225.6125017904392,26.28760071953773,6
95,-1225.6125017904392,26.28760071953773,6
97,-904.145023724645,31.530409155160566,6
98,-931.0648444896215,31.047882699883125,6
99,-1020.0068119905592,29.1197322234452,6
